"Variable_Name","Code_Display","Code_Query","Variable_Order","Variable_Key","Description","Unit_or_type","Data_type","Dataset","Subset","Group","SubGroup","Set_group_order","Version_or_questions","DSSAT_synon","DSSAT_group","DSSAT_order","MinVal","MaxVal","var_uid"
"longitude_soil_profile","SOIL_LONG","SOIL_LONG",9,,"Longitude of soil profile site","decimal_degrees","single","SOIL","SOIL_PROFILES","PROFILE_METADATA",,4041,,"LONG","SOIL META",5014,-180,180,519
"anonymize_soil_loc","SL_ANONYMIZE","SL_ANONYMIZE",9.5,,"Whether location of soil profile is anoymized (Y/N)","text","text","SOIL","SOIL_PROFILES","PROFILE_METADATA",,4041,,,,,,,520
"soil_site_elevation","SOIL_ELEV","SOIL_ELEV",10,,"Elevation of soil profile site","m","single","SOIL","SOIL_PROFILES","PROFILE_METADATA",,4041,,,,,,,521
"soil_sampling_date","SOIL_DATE","SOIL_DATE",11,,"Date soil was sampled in field (e.g., for profile description)","date","single","SOIL","SOIL_PROFILES","PROFILE_METADATA",,4041,"2017-03-17, jww",,,,,,522
"soil_depth","SLDP","SLDP",21,,"Soil depth","cm","single","SOIL","SOIL_PROFILES","PROFILE_METADATA",,4041,,"SLDP","SOIL META",5004,0,,523
"soil_profile_slope","SL_SLOPE","SL_SLOPE",21,,"Slope where soil profile characterized","%","single","SOIL","SOIL_PROFILES","PROFILE_METADATA",,4041,,".",,,0,90,524
"soil_source","SL_SOURCE","SL_SOURCE",31,,"Source of soil data","text","text","SOIL","SOIL_PROFILES","PROFILE_METADATA",,4041,,"SOURCE","SOIL META",5002,,,525
"soil_profile_notes","SL_PROF_NOTES","SL_PROF_NOTES",99,,"Additional, detailed information that describes individual soil profiles","text","text","SOIL","SOIL_PROFILES","PROFILE_METADATA",,4041,,,,,,,526
"soil_profile_id","SOIL_ID","SOIL_ID",1,,"Soil profile identifier","text","text","SOIL","SOIL_PROFILES","SOIL_PROFILE",,4051,,"SOIL_ID","SOIL GENERAL",5101,,,527
"soil_classific_system","SL_SYSTEM","SL_SYSTEM",2,,"Soil classification system (e.g., FAO, USDA)","text","text","SOIL","SOIL_PROFILES","SOIL_PROFILE",,4051,,,,,,,528
"soil_classification","CLASSIFICATION","CLASSIFICATION",3,,"Soil classification","text","text","SOIL","SOIL_PROFILES","SOIL_PROFILE",,4051,,"SCS FAMILY","SOIL META",5015,,,529
"soil_drainage_class","DRAINAGE","DRAINAGE",4,,"Soil profile drainage class","code","text","SOIL","SOIL_PROFILES","SOIL_PROFILE",,4051,,,,,,,530
"soil_albedo","SALB","SALB",11,,"Soil albedo, dry soil","unitless","single","SOIL","SOIL_PROFILES","SOIL_PROFILE",,4051,"2013-02-04","SALB","SOIL GENERAL",5103,,,531
"soil_albedo_moist","SALBM","SALBM",12,,"Soil albedo, moist soil","unitless","single","SOIL","SOIL_PROFILES","SOIL_PROFILE",,4051,"2013-02-04",".",,,,,532
"soil_evaporation_limit","SLU1","SLU1",13,,"Soil evaporation, upper limit for stage 1","mm","single","SOIL","SOIL_PROFILES","SOIL_PROFILE",,4051,,"SLU1","SOIL GENERAL",5104,0,,533
"depth_of_topsoil","SLTOP","SLTOP",43,,"Thickness of topsoil","cm","single","SOIL","SOIL_PROFILES","SOIL_PROFILE",,4051,"2013-09-05 chp",".",,,,,534
"summer_u","SUMMERU","SUMMERU",46,,"Summer soil evaporation, upper limit for stage 1","mm","single","SOIL","SOIL_PROFILES","SOIL_PROFILE",,4051,,".",,,0,,535
"winter_u","WINTERU","WINTERU",46,,"Winter soil evaporation, upper limit for stage 1","mm","single","SOIL","SOIL_PROFILES","SOIL_PROFILE",,4051,,".",,,0,,536
"drainage_rate_per_day","SLDR","SLDR",14,,"Drainage rate as fraction per day","1/d","single","SOIL","SOIL_PROFILES","SOIL_PROFILE",,4051,,"SLDR","SOIL GENERAL",5105,,,537
"runoff_curve_no_SCS","SLRO","SLRO",15,,"Runoff curve no. (Soil Conservation Service)","number","single","SOIL","SOIL_PROFILES","SOIL_PROFILE",,4051,,"SLRO","SOIL GENERAL",5106,,,538
"soil_surface_color","SSCOL","SSCOL",16,,"Surface soil color, moist, using Munsell hue","code","text","SOIL","SOIL_PROFILES","SOIL_PROFILE",,4051,,"SCOM","SOIL GENERAL",5102,,,539
"surface_stones_(cover)","FLST","FLST",17,,"Surface stones (cover)","m2/m2","single","SOIL","SOIL_PROFILES","SOIL_PROFILE",,4051,,".",,,0,,540
"mineralization_factor","SLNF","SLNF",18,,"Mineralization factor (0 to 1 scale)","number","single","SOIL","SOIL_PROFILES","SOIL_PROFILE",,4051,,"SLNF","SOIL GENERAL",5107,,,541
"pH_buffer_determin_meth","SMHB","SMHB",19,,"pH in buffer determination method","code","text","SOIL","SOIL_PROFILES","SOIL_PROFILE",,4051,,"SMHB","SOIL GENERAL",5109,,,542
"potassium_determ_method","SMKE","SMKE",20,,"Potassium determination method","code","text","SOIL","SOIL_PROFILES","SOIL_PROFILE",,4051,,"SMKE","SOIL GENERAL",5111,,,543
"phosphorus_determ_method","SMPX","SMPX",21,,"Phosphorus determination method","code","text","SOIL","SOIL_PROFILES","SOIL_PROFILE",,4051,,"SMPX","SOIL GENERAL",5110,,,544
"soil_texture","SLTX","SLTX",43,,"Soil texture","code","text","SOIL","SOIL_PROFILES","SOIL_PROFILE",,4051,,"SLTX","SOIL META",5003,,,545
"soil_denitrification_fac","SLDN","SLDN",44,,"Soil denitrification factor","number","single","SOIL","SOIL_PROFILES","SOIL_PROFILE",,4051,,".",,,,,546
"soil_fertility_on_photo","SLPF","SLPF",45,,"Soil fertility effect on photosynthesis (0 to 1 scale)","number","single","SOIL","SOIL_PROFILES","SOIL_PROFILE",,4051,,"SLPF","SOIL GENERAL",5108,0,1,547
"cona","CONA","CONA",45,,"Apsim Cona soil evaporation ","number","single","SOIL","SOIL_PROFILES","SOIL_PROFILE",,4051,,".",,,0,1,548
"diffus_const","DIFFUSCONST","DIFFUSCONST",46,,"APSIM Evaporative diffusion constant","number","single","SOIL","SOIL_PROFILES","SOIL_PROFILE",,4051,"2013-07-16 chp",".",,,0,1,549
"diffus_slope","DIFFUSSLOPE","DIFFUSSLOPE",47,,"APSIM Evaporative diffusion slope","number","single","SOIL","SOIL_PROFILES","SOIL_PROFILE",,4051,"2013-07-16 chp",".",,,0,1,550
"soil_id","SID","SID",0,1,"Unique soil identifier linking to SOIL_PROFILES","number","single","SOIL","SOIL_PROFILES","SOIL_PROFILE","SOIL_PROFILE_LAYERS",4052,,,,,,,551
"soil_profile_id","SOIL_ID","SOIL_ID",1,1,"Soil profile identifier","text","text","SOIL","SOIL_PROFILES","SOIL_PROFILE","SOIL_PROFILE_LAYERS",4052,,"SOIL_ID","SOIL LAYERS",5201,,,552
"soil_file_id","SOIL_FILE_ID","SOIL_FILE_ID",2,1,"Soil profile file name","text","text","SOIL","SOIL_PROFILES","SOIL_PROFILE","SOIL_PROFILE_LAYERS",4052,,,,,,,553
"soil_layer_top_depth","SLLT","SLLT",3,1,"Soil layer top depth","cm","single","SOIL","SOIL_PROFILES","SOIL_PROFILE","SOIL_PROFILE_LAYERS",4052,,,,,0,,554
"soil_layer_base_depth","SLLB","SLLB",4,1,"Soil layer base depth","cm","single","SOIL","SOIL_PROFILES","SOIL_PROFILE","SOIL_PROFILE_LAYERS",4052,,"SLB","SOIL LAYERS",5202,1,,555
"master_horizon","SLMH","SLMH",5,,"Master horizon","code","text","SOIL","SOIL_PROFILES","SOIL_PROFILE","SOIL_PROFILE_LAYERS",4052,,"SLMH","SOIL LAYERS",5203,,,556
"soil_color_moist_Munsell","SLCOM","SLCOM",6,,"Soil color of moist soil using Munsell hue","code","text","SOIL","SOIL_PROFILES","SOIL_PROFILE","SOIL_PROFILE_LAYERS",4052,,".",,,,,557
"soil_clay_fraction","SLCLY","SLCLY",7,,"Soil texture, clay (<0.002 mm), weight percent of fine earth","%","single","SOIL","SOIL_PROFILES","SOIL_PROFILE","SOIL_PROFILE_LAYERS",4052,,"SLCL","SOIL LAYERS",5211,0,,558
"soil_active_C","SLACC","SLACC",21,,"Biologically active soil organic carbon by layer, expressed as g[C]/100g[soil]","%","single","SOIL","SOIL_PROFILES","SOIL_PROFILE","SOIL_PROFILE_LAYERS",4052,"2013-06-06, CHP",,,,,,559
"soil_intermediate_C","SLINC","SLINC",22,,"Intermediate soil organic carbon by layer, expressed as g[C]/100g[soil]","%","single","SOIL","SOIL_PROFILES","SOIL_PROFILE","SOIL_PROFILE_LAYERS",4052,"2013-06-06, CHP",,,,,,560
"soil_stable_C","SLSC","SLSC",23,,"Stable organic carbon by layer, expressed as g[C]/100g[soil]","%","single","SOIL","SOIL_PROFILES","SOIL_PROFILE","SOIL_PROFILE_LAYERS",4052,,".",,,,,561
"soil_inert_C","SLIC","SLIC",24,,"Inert organic carbon by layer, expressed as g[C]/100g[soil]","%","single","SOIL","SOIL_PROFILES","SOIL_PROFILE","SOIL_PROFILE_LAYERS",4052,,".",,,,,562
"soil_active_C_fraction","SLFAC","SLFAC",25,,"Biologically active soil organic carbon by layer, fraction of total organic C","fraction","single","SOIL","SOIL_PROFILES","SOIL_PROFILE","SOIL_PROFILE_LAYERS",4052,"2014-03-26, CHP","fbiom",,,,,563
"soil_intermediate_C_fraction","SLFINC","SLFINC",26,,"Intermediate soil organic carbon by layer, fraction of total organic C","fraction","single","SOIL","SOIL_PROFILES","SOIL_PROFILE","SOIL_PROFILE_LAYERS",4052,"2014-03-26, CHP",,,,,,564
"soil_stable_C_fraction","SLFSC","SLFSC",27,,"Stable organic carbon by layer, fraction of total organic C","fraction","single","SOIL","SOIL_PROFILES","SOIL_PROFILE","SOIL_PROFILE_LAYERS",4052,"2014-03-26, CHP",".",,,,,565
"soil_inert_C_fraction","SLFIC","SLFIC",28,,"Inert organic carbon by layer, fraction of total organic C","fraction","single","SOIL","SOIL_PROFILES","SOIL_PROFILE","SOIL_PROFILE_LAYERS",4052,"2014-03-26, CHP",".",,,,,566
"soil_silt_fraction","SLSIL","SLSIL",8,,"Soil texture, silt (0.05 to 0.002 mm), weight percent of fine earth","%","single","SOIL","SOIL_PROFILES","SOIL_PROFILE","SOIL_PROFILE_LAYERS",4052,,"SLSI","SOIL LAYERS",5212,0,,567
"soil_sand_fraction","SLSND","SLSND",9,,"Soil texture, sand (0.05 to 2.0 mm), weight percent of fine earth","%","single","SOIL","SOIL_PROFILES","SOIL_PROFILE","SOIL_PROFILE_LAYERS",4052,,,,,,,568
"soil_coarse_fraction","SLCF","SLCF",10,,"Soil texture, coarse fraction (>2 mm), weight percent of fine earth","%","single","SOIL","SOIL_PROFILES","SOIL_PROFILE","SOIL_PROFILE_LAYERS",4052,,"SLCF","SOIL LAYERS",5213,0,,569
"soil_organic_C_perc_layr","SLOC","SLOC",11,,"Total soil organic carbon by layer, expressed as g[C]/100g[soil]","%","single","SOIL","SOIL_PROFILES","SOIL_PROFILE","SOIL_PROFILE_LAYERS",4052,,"SLOC","SOIL LAYERS",5210,0,,570
"soil_organic_matter_layer","SLOM","SLOM",12,,"Total soil organic matter by layer","kg[OM]/ha","single","SOIL","SOIL_PROFILES","SOIL_PROFILE","SOIL_PROFILE_LAYERS",4052,"2018-06-19",,,,,,571
"soil_pH_in_buffer","SLPHB","SLPHB",13,,"pH of soil measured in buffer solution, from profile description","number","single","SOIL","SOIL_PROFILES","SOIL_PROFILE","SOIL_PROFILE_LAYERS",4052,,"SLHB","SOIL LAYERS",5216,,,572
"soil_pH_in_water","SLPHW","SLPHW",14,,"pH of soil in water, from profile description","number","single","SOIL","SOIL_PROFILES","SOIL_PROFILE","SOIL_PROFILE_LAYERS",4052,,"SLHW","SOIL LAYERS",5215,,,573
"soil_water_residual","SLRES","SLRES",15,,"Soil water, residual","cm3/cm3","single","SOIL","SOIL_PROFILES","SOIL_PROFILE","SOIL_PROFILE_LAYERS",4052,,,,,,,574
"soil_bulk_density_moist","SLBDM","SLBDM",16,,"Soil bulk density with volume determined when soil is moist (approx. 33 kPa = 1/3 bar)","g/cm3","single","SOIL","SOIL_PROFILES","SOIL_PROFILE","SOIL_PROFILE_LAYERS",4052,,"SBDM","SOIL LAYERS",5209,0,,575
"soil_water_lower_limit","SLLL","SLLL",17,,"Soil water, lower limit","cm3/cm3","single","SOIL","SOIL_PROFILES","SOIL_PROFILE","SOIL_PROFILE_LAYERS",4052,,"SLLL","SOIL LAYERS",5204,0,,576
"soil_water_wilting_pt","SLWP","SLWP",18,,"Soil water content (wilting point) at 15 atmosphere pressure ","cm3/cm3","single","SOIL","SOIL_PROFILES","SOIL_PROFILE","SOIL_PROFILE_LAYERS",4052,,".",,,0,,577
"soil_water_field_cap_1","SLFC1","SLFC1",19,,"Soil water content at 1/3 atmosphere pressure","cm3/cm3","single","SOIL","SOIL_PROFILES","SOIL_PROFILE","SOIL_PROFILE_LAYERS",4052,,".",,,0,,578
"soil_water_field_cap_2","SLFC2","SLFC2",20,,"Soil water content at 1/10 atmospheric pressure","cm3/cm3","single","SOIL","SOIL_PROFILES","SOIL_PROFILE","SOIL_PROFILE_LAYERS",4052,,".",,,0,,579
"soil_wat_drned_upper_lim","SLDUL","SLDUL",21,,"Soil water, drained upper limit","cm3/cm3","single","SOIL","SOIL_PROFILES","SOIL_PROFILE","SOIL_PROFILE_LAYERS",4052,,"SDUL","SOIL LAYERS",5205,0,,580
"soil_water_saturated","SLSAT","SLSAT",22,,"Soil water, saturated","cm3/cm3","single","SOIL","SOIL_PROFILES","SOIL_PROFILE","SOIL_PROFILE_LAYERS",4052,,"SSAT","SOIL LAYERS",5206,0,,581
"sat_hydraul_conductivity","SKSAT","SKSAT",23,,"Saturated hydraulic conductivity","cm/h","single","SOIL","SOIL_PROFILES","SOIL_PROFILE","SOIL_PROFILE_LAYERS",4052,,"SSKS","SOIL LAYERS",5208,0,,582
"layer_drainage_rate_per_day","SLDRL","SLDRL",24,,"Drainage rate as fraction per day, per layer","1/d","single","SOIL","SOIL_PROFILES","SOIL_PROFILE","SOIL_PROFILE_LAYERS",4052,"2014-04-19, CHP",".",,,,,583
"van_genuch_alpha","VG_ALPHA","VG_ALPHA",25,,"Van Genuchten alpha parameter","1/cm","single","SOIL","SOIL_PROFILES","SOIL_PROFILE","SOIL_PROFILE_LAYERS",4052,"2015-05-13, CHP",".",,,,,584
"van_genuch_n","VG_N","VG_N",26,,"Van Genuchten N parameter","number","single","SOIL","SOIL_PROFILES","SOIL_PROFILE","SOIL_PROFILE_LAYERS",4052,"2015-05-13, CHP",".",,,,,585
"cation_exchange_capacity","SLCEC","SLCEC",27,,"Cation exchange capacity","cmol/kg","single","SOIL","SOIL_PROFILES","SOIL_PROFILE","SOIL_PROFILE_LAYERS",4052,,"SCEC","SOIL LAYERS",5215,0,,586
"soil_N_total_conc","SLNI","SLNI",28,,"Nitrogen, total in soil","%","single","SOIL","SOIL_PROFILES","SOIL_PROFILE","SOIL_PROFILE_LAYERS",4052,,"SLNI","SOIL LAYERS",5214,,,587
"soil_organic_N_conc","SLORN","SLORN",29,,"Nitrogen, total soil organic","%","single","SOIL","SOIL_PROFILES","SOIL_PROFILE","SOIL_PROFILE_LAYERS",4052,,,,,0,,588
"soil_adsorption_coef","SLADC","SLADC",30,,"Soil anion adsorption coefficient","cm3 (H2O) g [soil]-1","single","SOIL","SOIL_PROFILES","SOIL_PROFILE","SOIL_PROFILE_LAYERS",4052,,"SADC","SOIL LAYERS",5216,,,589
"soil_water_air_dry","SLADR","SLADR",31,,"Soil water content, air dry","cm3/cm3","single","SOIL","SOIL_PROFILES","SOIL_PROFILE","SOIL_PROFILE_LAYERS",4052,"2013-06-06, CHP",".",,,0,,590
"root_growth_factor_soil","SLRGF","SLRGF",32,,"Root growth factor, soil only (0 to 1 scale)","number","single","SOIL","SOIL_PROFILES","SOIL_PROFILE","SOIL_PROFILE_LAYERS",4052,,"SRGF","SOIL LAYERS",5207,0,1,591
"soil_water_uptake_factor","SLXF","SLXF",33,,"Root exploration factor (0 to 1 scale, APSIM XF)","number","single","SOIL","SOIL_PROFILES","SOIL_PROFILE","SOIL_PROFILE_LAYERS",4052,"2015-10-29, CHP","XF",,,0,1,592
"soil_compac_fact_by_lyr","SCMPF","SCMPF",34,,"Soil compaction factor by layer (0 to 1 scale)","number","single","SOIL","SOIL_PROFILES","SOIL_PROFILE","SOIL_PROFILE_LAYERS",4052,,".",,,,,593
"NH4soil_kCl","SNH4","SNH4",35,,"NH4 in soil based on KCl extraction, by layer","g/Mg","single","SOIL","SOIL_PROFILES","SOIL_PROFILE","SOIL_PROFILE_LAYERS",4052,,".",,,0,,594
"nitrate_KCl","SNO3","SNO3",36,,"Nitrate in soil based on KCl extraction, by layer","g/Mg","single","SOIL","SOIL_PROFILES","SOIL_PROFILE","SOIL_PROFILE_LAYERS",4052,,".",,,0,,595
"phosphorus_extractable","SLPX","SLPX",37,,"Phosphorus, extractable","mg/kg","single","SOIL","SOIL_PROFILES","SOIL_PROFILE","SOIL_PROFILE_LAYERS",4052,,".",,,0,,596
"phosphorus_total","SLPT","SLPT",38,,"Phosphorus, total","mg/kg","single","SOIL","SOIL_PROFILES","SOIL_PROFILE","SOIL_PROFILE_LAYERS",4052,,".",,,0,,597
"phosphorus_organic","SLPO","SLPO",39,,"Phosphorus, organic","mg/kg","single","SOIL","SOIL_PROFILES","SOIL_PROFILE","SOIL_PROFILE_LAYERS",4052,,".",,,0,,598
"phosphorus_isotherm_A","SLPA","SLPA",40,,"Phosphorus isotherm A","mmol/kg","single","SOIL","SOIL_PROFILES","SOIL_PROFILE","SOIL_PROFILE_LAYERS",4052,,".",,,,,599
"phosphorus_iostherm_B","SLPB","SLPB",41,,"Phosphorus iostherm B","mmol/l","single","SOIL","SOIL_PROFILES","SOIL_PROFILE","SOIL_PROFILE_LAYERS",4052,,".",,,,,600
"potassium_exchangeable","SLKE","SLKE",42,,"Potassium, exchangeable","cmol/kg","single","SOIL","SOIL_PROFILES","SOIL_PROFILE","SOIL_PROFILE_LAYERS",4052,,".",,,0,,601
"CaCO3_content","CACO3","CACO3",43,,"Soil CaCO3 content","g/kg","single","SOIL","SOIL_PROFILES","SOIL_PROFILE","SOIL_PROFILE_LAYERS",4052,,,,,0,,602
"soil_calcium_conc","SLCA","SLCA",44,,"Soil calcium, exchangeable","cmol/kg","single","SOIL","SOIL_PROFILES","SOIL_PROFILE","SOIL_PROFILE_LAYERS",4052,,".",,,0,,603
"soil_aluminum_conc","SLAL","SLAL",45,,"Soil aluminum concentration in profile described","ppm","single","SOIL","SOIL_PROFILES","SOIL_PROFILE","SOIL_PROFILE_LAYERS",4052,,".",,,0,,604
"soil_iron_conc","SLFE","SLFE",46,,"Soil iron concentration","ppm","single","SOIL","SOIL_PROFILES","SOIL_PROFILE","SOIL_PROFILE_LAYERS",4052,,".",,,0,,605
"soil_magnesium_conc","SLMG","SLMG",47,,"Magnesium","cmol/kg","single","SOIL","SOIL_PROFILES","SOIL_PROFILE","SOIL_PROFILE_LAYERS",4052,,".",,,0,,606
"soil_manganese_conc","SLMN","SLMN",48,,"Manganese","ppb","single","SOIL","SOIL_PROFILES","SOIL_PROFILE","SOIL_PROFILE_LAYERS",4052,,".",,,0,,607
"soil_sodium_conc","SLNA","SLNA",49,,"Sodium in soil layer","cmol/kg","single","SOIL","SOIL_PROFILES","SOIL_PROFILE","SOIL_PROFILE_LAYERS",4052,,".",,,0,,608
"soil_sulfur_conc","SLSU","SLSU",50,,"Sulfur in soil layer","ppm","single","SOIL","SOIL_PROFILES","SOIL_PROFILE","SOIL_PROFILE_LAYERS",4052,,".",,,0,,609
"soil_base_saturation","SLBS","SLBS",51,,"Soil base saturation","cmol/kg","single","SOIL","SOIL_PROFILES","SOIL_PROFILE","SOIL_PROFILE_LAYERS",4052,,".",,,0,,610
"electric_conductivity","SLEC","SLEC",52,,"Electric conductivity","seimen","single","SOIL","SOIL_PROFILES","SOIL_PROFILE","SOIL_PROFILE_LAYERS",4052,,".",,,,,611
"plant_root_uptake_factor","APSIM_KL","APSIM_KL",61,,"APSIM plant specific water uptake coefficient","number","single","SOIL","SOIL_PROFILES","SOIL_PROFILE","SOIL_PROFILE_LAYERS",4052,"2013-07-16 chp",".",,,,,612
"soil_layer_comment","SL_COMMENT","SL_COMMENT",99,,"Additional information on a single soil layer","text","text","SOIL","SOIL_PROFILES","SOIL_PROFILE","SOIL_PROFILE_LAYERS",4052,,,,,,,613
